"category_id","category_name"
178089,Category 2
13754,Dolls & Kachinas
183412,Stirrups
165547,Patches
173608,U.S. (1898-1946)
163009,Baby Carriages & Buggies
258591,Electric Ranges
36028,Bowls
8444,Other Fish & Aquarium Supplies
25366,Other Tabletop Concession
67095,Shredders
35628,Advertising-Print
149389,Slogans
163853,Ham Radio Amplifiers
4785,Live & Studio Mixers
261663,Saucepans & Stockpots
180129,Bait Boats
60399,Black & White
175631,Storage Bags & Preservation
262381,Tea & Coffee Pots
260458,Manifold Gauges & Probes
181219,Resonators
19985,Chairs & Seats
155243,Cheong-sam
52341,Micropets
20578,Suncatchers & Mobiles
181685,Contactor Accessories
48680,Other Portable Audio Accs
259293,Electrical Wires & Cables
170066,Digital Camera Backs
167948,Plumbing & Fixtures
156483,"1970-Now"
181054,Saunas
184075,Magnetic Drive Pumps
260561,Shower Dispensers
116679,Quilt Batting
55826,Linear Actuators
36037,Edged Weapons
119095,Harmonicas
134750,Fish Pond Supplies
86941,Skulls
117141,Slingshots
178057,Nut & Shell Crackers
182020,Heat Exchangers
164060,Meat Loaf
3144,Other Career Development
175671,Hard Drive Duplicators
176975,Keyboards
20502,Bird Houses
156844,Window Decorations
257814,Dental Matrix Systems & Wedges
32872,Pacifiers & Soothers
181294,Longbows
85275,Horse Blankets & Sheets
31742,All-Purpose Craft Supplies
104959,Concert Memorabilia
85945,Aaliyah
126,"1960-Now"
181366,Gloves
185183,Chromatography Systems
163099,Typewriters
71116,Holders & Boxes
262320,Automotive
134791,Skin & Coat Care
150007,Pottery
179380,Barbados (1966-Now)
101415,Vases
179183,Cheese Balls & Puffed Snacks
261711,Sinks
127425,Mauritania
4713,Bass Guitars
177804,Bolts & Fasteners
156429,Canada
177835,Bicycle Transport Cases & Bags
122320,Suspenders
178070,Bulk Fresh Flowers
101806,Hats
258445,Riveting Machines
258319,Hand Saws
433,Other Elvis Presley Mem
10895,Squirrels
163032,Surgical Sets
104989,Concert Memorabilia
103952,Gear Bags & Duffels
38229,String Lights
175680,Hard Drive Pouches
73208,Leeward Islands
158731,Axis & Allies
165231,Old Forester
119018,Preamps & Channel Strips
165597,Books
182189,Gas/Nitro Engines
205,Basketball-Other
109563,Pneumatic Wrenches
165931,Tackle Craft
10801,Amoco
259115,Fan Clubs & Zines
257952,Nuts & Seeds
95087,Commercial Dough Rollers & Cutters
183221,Finished Crewel Pieces
184031,Hydraulic Filter Housings
35845,Bottles
175708,Stereo Component Combos
100501,Audio for Video
181400,Camping Hygiene Accessories
165331,Seltzer
109431,Clothing Racks
41247,Sewing Machine Needles
181121,Pond Décor
66881,Hay Rakes
159148,Hats & Helmets
1244,Motherboards
126415,Sauna Accessories
260066,Dry & Fluid Coolers
259161,Doorbell Parts
38055,Manuals & Books
20659,Napkins
185150,Phase Converter Parts
257896,Lifting/Tow Chains & Ropes
67073,Cleaning Kits
26217,Screws & Bolts
179825,Compression & Base Layers
183273,Webbings
105033,Other Rock & Pop Artists S
173603,Korea (up to 1948)
149381,"Music, Musicians"
159065,Elbow & Knee Pads
63924,"Wood Chippers, Stump Grinders & Mulchers"
35952,US: Oklahoma
11143,Other Vintage Fishing Reels
116107,Wands
167928,Screen Protectors
109941,AFL Balls
162231,Entertainment & Sports
165613,Tools & Hardware
19195,Frankenstein
260064,Chillers
19172,"Dress-Up, Costumes"
259175,"Garage Door Rollers, Sensors & Springs"
43510,Air Purifiers
20663,Tablecloths
260611,Kitchen Sinks
260505,Tankless Water Heaters
176982,Other Tablet & eBook Accs
258255,Rubber Square Bars
150069,Jewelry Making Chains
115940,Sensors & Motion Detectors
178096,Category 9
181250,Gongs
37829,Pre-1900
26243,Binders & Stitchers
716,Other Nat. Am. Items Pre-1600
260576,Stove Sealers
134569,Paint Sets
109674,Work Boots & Shoes
257922,Dynamometers
37858,Ornaments
20500,Bird Baths
260129,Refrigeration Tubing Tools
101763,Postage Dues
20381,"Walkie Talkies, Two-Way Radios"
25325,Other Time Clocks & Supplies
184293,Conductive Wire Glue Pastes
37834,"1940-49"
260285,Roller Chain Links
181216,Whistles
261258,Cabinets & Cupboards
30368,Replacement Lenses
163014,Ice Boxes
73546,U.S. States
45063,Postcards & Paper
182014,Ammeters
85757,Pond Filter Media
14433,Other Collectible Autographs
168093,Armbands
183325,Cake Boards
261698,Scales
168687,Shipping
261835,Other Gaelic Sport
181231,Congas
20434,Other Baby Proofing
73335,"12-Volt Portable Appliances"
1346,Other Exploration Missions
62178,Snowsuits
175525,Umbrellas
151604,Hoses
3628,Modern (1970-Now)
846,Radio
46527,Beekeeping
179398,Serbia
182952,Soldering Flux
66784,Muzzles
86948,Dodge
109789,Toilet Paper Dispensers
3300,Other Office Furniture
104410,Posters
162069,Olympics
46310,Filters
1329,Gulf
50358,Other Media Editing Services
170050,Decks & Porches
164069,"Nugent, Ted"
7318,"1970-Now"
158720,Bounty Hunters
50422,Computers
156490,"1900-49"
158702,Nohohon
258270,PCB Conveyors
185227,Orthopedic Goniometers
258839,Wall Mount Faucets
12505,Blotters
82565,Waxing Supplies
20182,Puzzles & Games
182174,"Manuals, Inserts & Box Art"
96969,Satellite TV Receivers
584,Other US WWI Original Items
182038,Socks & Tights
258654,Restaurant Folding Chairs
150025,Rugs & Textiles (Navajo)
39691,Michigan
184648,"Converters, Scalers & Processors"
163036,Barometers
83181,"Jackson, Janet"
156205,Stickers & Decals
1383,"Toys, Games & Puzzles"
259147,Vehicle & Space Ship Replicas
50790,"Campaigns, Elections, Politics"
182060,Canes & Walking Sticks
184305,Laundry Sticks
64820,Badges
50725,Shiba Inu
112426,Other Kids' Dancewear
260697,Bindings
33082,Generators
145933,Magnets
1552,Original Period Items
257946,"Custard, Dessert Sauces & Toppings"
104018,Videos
259060,Air Conditioning & Heating
262403,Smoke Dispellers
108740,Photographs
47921,Men's Razors
75390,Car Alarms & Security Systems
184259,Coin & Catalog Envelopes
21141,Shaving & Razors
